rules,words,coeff,tag
include_and,нулевой,0.8,1
exclude_and,октмо,0.8,1
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.8,1
include_and,взнос,0.8,2
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.8,2
include_or,расхождение при этом,0.8,2
include_and,уменьшать,0.8,3
include_str_p,"в ходе проведения камеральной налоговой проверки на основе Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма № 6-НДФЛ)",0.8,3
include_or,ранее расшифровка,0.8,3
exclude_or,показатель фиксированный,0.8,3
include_and,вычет,0.8,4
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.8,4
include_or,расшифровка высокий завышать,0.8,4
include_and,прибыль,0.8,5
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на добавленную стоимость,0.8,5
include_and,расхождение,0.8,5
include_and,обложение неподлежащая взнос,0.8,6
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.8,6
include_or,ндфл налогнадоход,0.8,7
include_str_p,в ходе проведения камеральной налоговой проверки на основе Расчет по страховым взносам,0.8,7
include_and,расхождение,0.8,7
include_and,расхождение,0.8,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,8
include_and,Декларация НДС,0.8,8
include_and,сравнение ндс,0.8,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,8
include_str_p,доходы от реализации по данным деклараций,0.8,8
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,8
include_or,лисичкивзялиспичкиморесинеезажгли 041,0.8,9
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,9
include_and,баланс,0.8,10
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,10
include_or,расхождение,0.8,10
include_and,форма2,0.8,10
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,10
include_and,убытки,0.8,11
include_and,расшифровка,0.8,11
exclude_or,амортизируемый амортизация отчет о прибылях и убытках,0.8,11
include_or,косвенные 040,0.8,12
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,12
include_and,расшифровка,0.8,12
include_and,внереализационный расход,0.8,13
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,13
include_and,расшифровка,0.8,13
include_and,внереализационный доход,0.8,14
include_str_p,в ходе проведения камеральной налоговой проверки на основе Налоговая декларация по налогу на прибыль организаций,0.8,14
include_and,расшифровка,0.8,14
