,ngrams,token
0,страховой взнос,страховойвзнос
1,основной средство,основнойсредство
2,учетный политика,учетныйполитика
3,платежный поручение,платежныйпоручение
4,спец оценкарабочий,спецоценкарабочий
5,обособленный подразделение,обособленныйподразделение
6,налог прибыль,налогприбыль
7,материальный помощь,материальныйпомощь
8,штатный расписание,штатныйрасписание
9,уход ребенок,уходребенок
10,средний заработок,среднийзаработок
11,трудовой книжка,трудовойкнижка
12,авансовый платеж,авансовыйплатеж
13,налог имущество,налогимущество
14,амортизационный группа,амортизационныйгруппа
15,бухгалтерский учет,бухгалтерскийучет
16,срок сдача,сроксдача
17,беременность род,беременностьрод
18,уставной капитал,уставнойкапитал
19,среднесписочный численность,среднесписочныйчисленность
20,путевой лист,путевойлист
21,письмо минфин,письмоминфин
22,земельный участок,земельныйучасток
23,главный бухгалтер,главныйбухгалтер
24,неотделимый улучшение,неотделимыйулучшение
25,предельный величина,предельныйвеличина
26,курсовой разница,курсовойразница
27,уставный капитал,уставныйкапитал
28,постановление правительство,постановлениеправительство
29,пилотный проект,пилотныйпроект
30,пояснительный записка,пояснительныйзаписка
31,окружающий среда,окружающийсреда
32,фискальный накопитель,фискальныйнакопитель
33,денежный средство,денежныйсредство
34,несчастный случай,несчастныйслучай
35,кассовый чек,кассовыйчек
36,статья рф,статьярф
37,трудовой договор,трудовойдоговор
38,должностной инструкция,должностнойинструкция
39,негативный воздействие,негативныйвоздействие
40,срок уплата,срокуплата
41,крайний север,крайнийсевер
42,налоговый учет,налоговыйучет
43,районный коэффициент,районныйкоэффициент
44,дополнительный соглашение,дополнительныйсоглашение
45,транспортный налог,транспортныйналог
46,камеральный проверка,камеральныйпроверка
47,авансовый отчет,авансовыйотчет
48,исковой давность,исковойдавность
49,исполнительный лист,исполнительныйлист
50,разъездной характер,разъезднойхарактер
51,программный обеспечение,программныйобеспечение
52,контрольный соотношение,контрольныйсоотношение
53,кассовый аппарат,кассовыйаппарат
54,пониженный тариф,пониженныйтариф
55,документальный оформление,документальныйоформление
56,персональный данные,персональныйданные
57,материальный выгода,материальныйвыгода
58,имущественный вычет,имущественныйвычет
59,отпуск уход,отпускуход
60,арендный плата,арендныйплата
61,пособие уход,пособиеуход
62,книга покупка,книгапокупка
63,бухгалтерский проводка,бухгалтерскийпроводка
64,внешний совместитель,внешнийсовместитель
65,расчетный счет,расчетныйсчет
66,ценный бумага,ценныйбумага
67,розничный торговля,розничныйторговля
68,давальческий сырье,давальческийсырье
69,корректировочный счетфактура,корректировочныйсчетфактура
70,рождение ребенок,рождениеребенок
71,член семья,членсемья
72,вахтовый метод,вахтовыйметод
73,нематериальный актив,нематериальныйактив
74,оценочный обязательство,оценочныйобязательство
75,налоговый агент,налоговыйагент
76,ребенок год,ребенокгод
77,оказание услуга,оказаниеуслуга
78,прощение долг,прощениедолг
79,безвозмездный передача,безвозмездныйпередача
80,декларация налог,декларацияналог
81,рабочий время,рабочийвремя
82,бух учет,бухучет
83,малый предприятие,малыйпредприятие
84,условие труд,условиетруд
85,беспроцентный заем,беспроцентныйзаем
86,готовый продукция,готовыйпродукция
87,естественный убыль,естественныйубыль
88,возврат товар,возвраттовар
89,ответ требование,ответтребование
90,торговый сбор,торговыйсбор
91,российский федерация,российскийфедерация
92,усна доход,уснадоход
93,ввод эксплуатация,вводэксплуатация
94,декларация ндс,декларацияндс
95,договор аренда,договораренда
96,минус расход,минусрасход
97,товарный знак,товарныйзнак
98,предпенсионный возраст,предпенсионныйвозраст
99,предупредительный мера,предупредительныймера
100,патентный система,патентныйсистема
101,кадастровый стоимость,кадастровыйстоимость
102,прием работа,приемработа
103,вид деятельность,виддеятельность
104,нежилой помещение,нежилойпомещение
105,подотчетный лицо,подотчетныйлицо
106,пункт статья,пунктстатья
107,выездной проверка,выезднойпроверка
108,близкий родственник,близкийродственник
109,бумажный носитель,бумажныйноситель
110,единица измерение,единицаизмерение
111,сокращение штат,сокращениештат
112,сменный график,сменныйграфик
113,федеральный закон,федеральныйзакон
114,доход минус,доходминус
115,методический рекомендация,методическийрекомендация
116,первичный документ,первичныйдокумент
117,юридический адрес,юридическийадрес
118,выходной пособие,выходнойпособие
119,письмо фнс,письмофнс
120,выходной день,выходнойдень
121,судебный пристав,судебныйпристав
122,единовременный пособие,единовременныйпособие
123,северный надбавка,северныйнадбавка
124,соглашение сторона,соглашениесторона
125,временный нетрудоспособность,временныйнетрудоспособность
126,срок подача,срокподача
127,процент заем,процентзаем
128,пособие рождение,пособиерождение
129,банковский гарантия,банковскийгарантия
130,сомнительный долг,сомнительныйдолг
131,таможенный союз,таможенныйсоюз
132,центр занятость,центрзанятость
133,решение суд,решениесуд
134,целевой финансирование,целевойфинансирование
135,методический указание,методическийуказание
136,посадочный талон,посадочныйталон
137,удельный вес,удельныйвес
138,система налогообложение,системаналогообложение
139,подарочный сертификат,подарочныйсертификат
140,книга продажа,книгапродажа
141,вычет ндс,вычетндс
142,собственный желание,собственныйжелание
143,базовый доходность,базовыйдоходность
144,связь смерть,связьсмерть
145,обязательный аудит,обязательныйаудит
146,пособие беременность,пособиебеременность
147,акционерный общество,акционерныйобщество
148,выплата дивиденд,выплатадивиденд
149,условный единица,условныйединица
150,ставка ндс,ставкандс
151,рабочий день,рабочийдень
152,прошлый год,прошлыйгод
153,корпоративный карта,корпоративныйкарта
154,раздельный учет,раздельныйучет
155,пенсионный фонд,пенсионныйфонд
156,высококвалифицированный специалист,высококвалифицированныйспециалист
157,расчетный период,расчетныйпериод
158,служебный записка,служебныйзаписка
